**************************************************************************************************************************************************

Density=        0.0 g/cc;
Temperature(eV)        Pressure(Mbar)        Energy(eV/atom)
--------------------------------------------------------------------------------------------------------------------------------------------------


0.0008617328154319115  4.137872960940925e-10  -15.841300582885742    
0.0027250404475840243  1.269666916048351e-09  -15.832919692993164    
0.008617328154319115   3.848766061409492e-09  -15.80995578765869     
0.01365754307048328    6.1890402136555165e-09 -15.787689876556396    
0.021645745948240015   1.0133933558975627e-08 -15.755580711364747    
0.0343062038299715     1.670221472238609e-08  -15.714785766601562    
0.05437166105463172    2.706145636466317e-08  -15.665119171142578    
0.08617328154319114    4.223024223648508e-08  -15.582337284088135    
0.13657544793948914    6.58007223819368e-08   -15.415974330902099    
0.216457502569041      1.0505530525506402e-07 -15.069117259979247    
0.34306202106505873    1.7430467238455095e-07 -14.357913589477539    
0.543716670867614      3.010319261420591e-07  -13.097929954528809    
0.8617328154319113     5.383759742016992e-07  -11.05361032485962     
0.9668801265023774     6.261405985696911e-07  -10.339812469482421    
1.084857320743417      7.35839688559281e-07   -9.521720218658448     
1.2172300029514351     8.667214672186674e-07  -8.581085109710694     
1.3657545310988601     1.0146363820240367e-06 -7.502086925506592     
1.5324017915425237     1.1799538413015398e-06 -6.30581579208374      
1.7193829993041505     1.3659423075296217e-06 -4.960761165618896     
1.9291794278524972     1.5715069366706302e-06 -3.4717129707336425    
2.1645748791958317     1.8043202885564824e-06 -1.748781681060791     
2.428692953826201      2.0706955865534837e-06 0.23107805252075195    
2.7250379916455003     2.5188632434947065e-06 2.365984630584717      
3.057542811963437      3.088931134698214e-06  4.6573896408081055     
3.4306195988202868     3.795190195887699e-06  7.058783149719238      
3.849218438497052      4.45397406565462e-06   9.619961357116699      
4.3188941210433        5.0873189138656015e-06 12.26940689086914      
